INDICE_LINHA;NOME_FONTE;ID_ESCOLA;NOME_INEP;MUNICIPIO;CLASSIFICACAO_MATCH;MOTIVO;SCORE
136;Manoel Ribas, E E Interventor-Ef;41089545.0;MANOEL RIBAS C E CM INTERVENTOREF M;Santo Antônio do Sudoeste;ambiguous;Competição próxima entre 'MANOEL RIBAS C E CM INTERVENTOREF M' (Santo Antônio do Sudoeste) e 'MANOEL RIBAS C E CMEF M' (Guarapuava);0.958
137;Colégio João Zacco;41081340.0;JOAO ZACCO PARANA C E CMEF M;Planalto;confirmed;Top match claro (score 0.923 vs 0.654);0.923
138;Colégio Cívico-Militar Vila Guaira, C E-Ef M;41012747.0;VILA GUAIRA C E CMEF M;Goioerê;confirmed;Top match claro (score 0.958 vs 0.637);0.958
139;Colégio Estadual Cívico Militar Olavo Bilac;41014375.0;OLAVO BILAC C E CMEF M;Ubiratã;ambiguous;Competição próxima entre 'OLAVO BILAC C E CMEF M' (Ubiratã) e 'OLAVO BILAC C E CMEF M' (Faxinal);1.233
140;Escola Ribeiro de Campos, E E C-M-Ef;41012631.0;RIBEIRO DE CAMPOS E E CMEF;Goioerê;confirmed;Top match claro (score 0.958 vs 0.437);0.958
141;COLÉGIO ESTADUAL VEREADOR HEITOR ROCHA KRAMER - EFM.;41100484.0;HEITOR ROCHA KRAMER C E CM VEREF M;Guarapuava;confirmed;Top match claro (score 1.048 vs 0.571);1.048
142;Mahatma Gandhi, C E-Ef M;41100778.0;MAHATMA GANDHI C E CMEF M PROFIS;Guarapuava;confirmed;Top match claro (score 1.175 vs 0.592);1.175
143;Colégio Estadual Manoel Ribas;41089545.0;MANOEL RIBAS C E CM INTERVENTOREF M;Santo Antônio do Sudoeste;ambiguous;Competição próxima entre 'MANOEL RIBAS C E CM INTERVENTOREF M' (Santo Antônio do Sudoeste) e 'MANOEL RIBAS C E CMEF M' (Guarapuava);1.233
144;Colégio Estadual Cívico-Militar Santo Antônio;41104897.0;SANTO ANTONIO C E CMEF M;Pinhão;ambiguous;Competição próxima entre 'SANTO ANTONIO C E CMEF M' (Pinhão) e 'SANTO ANTONIO C E CMEF M' (Curitiba);1.233
145;COLÉGIO ESTADUAL ENGENHEIRO MICHEL GASTON PROSPER AUGUSTA REYDAMS;41104447.0;MICHEL G P A REYDAMS C E CM ENGEF M;Reserva do Iguaçu;confirmed;Candidato único com score 0.667;0.667
146;Colégio Estadual Edite Cordeiro Marques;41106628.0;EDITE C MARQUES C E CMEF M;Turvo;confirmed;Top match claro (score 0.958 vs 0.637);0.958
147;Colégio Estadual Professora Leni Marlene Jacob;41100689.0;LENI MARLENE JACOB C E CM PROFAEF M P;Guarapuava;confirmed;Top match claro (score 1.262 vs 0.425);1.262
148;Colégio Estadual Parigot de Souza;41023382.0;PEDRO V PARIGOT SOUZA C E CMEF M P;Marialva;ambiguous;Competição próxima entre 'PEDRO V PARIGOT SOUZA C E CMEF M P' (Marialva) e 'PARIGOT DE SOUZA C E CMEF M N PROFIS' (Inácio Martins);1.175
149;Caxias, C E Dq-Ef M Profis;41023811.0;CAXIAS C E CM DQ DEEF M PROFIS;Maringá;ambiguous;Competição próxima entre 'CAXIAS C E CM DQ DEEF M PROFIS' (Maringá) e 'CAXIAS E E C DQ DE EF' (Planalto);1.175
150;Joao De M Pessoa, C E-Ef M;41113250.0;JOAO DE M PESSOA C E CMEF M;Irati;confirmed;Top match claro (score 1.233 vs 0.883);1.233
151;Colégio Estadual Cívico Militar Nicolau Copérnico - EF M;41114027.0;NICOLAU COPERNICO C E CMEF M;Mallet;confirmed;Top match claro (score 1.233 vs 0.762);1.233
152;Colégio Estadual Cívico Militar Barão de Capanema - Ensino Fundamental e Médio;41156269.0;COLEGIO SESI CAPANEMA ENSINO MEDIO;Capanema;ambiguous;Competição próxima entre 'COLEGIO SESI CAPANEMA ENSINO MEDIO' (Capanema) e 'COLEGIO SESI CIC ENSINO FUNDAMENTAL E MEDIO' (Curitiba);0.663
153;Colégio Estadual Cívico Militar Profª Maria Ignácia;41114469.0;MARIA IGNACIA C E CM PROFAEF M;Rebouças;confirmed;Top match claro (score 1.233 vs 0.762);1.233
154;Colégio Estadual Dr Afonso Alves de Camargo;41001060.0;AFONSO CAMARGO C E CM PRESEF M;Loanda;ambiguous;Competição próxima entre 'AFONSO CAMARGO C E CM PRESEF M' (Loanda) e 'AFONSO A DE CAMARGO C E CM DREF M P' (Rio Azul);0.958
155;Colégio Estadual Cívico-Militar Anita Garibaldi;41038100.0;ANITA GARIBALDI C E CMEF M PROFIS;Jardim Alegre;confirmed;Top match claro (score 1.175 vs 1.000);1.175
156;Colégio Estadual Nereu Ramos;41039068.0;NEREU RAMOS E E CMEF;Manoel Ribas;confirmed;Top match claro (score 1.233 vs 0.883);1.233
157;Vicente Machado, C E C-Ef M;41040694.0;VICENTE MACHADO C E CMEF M;São Pedro do Ivaí;confirmed;Top match claro (score 1.233 vs 0.883);1.233
158;Colégio Estadual Cívico Militar Antônio Diniz Pereira;41037324.0;ANTONIO DINIZ PEREIRA C E CMEF M;Ivaiporã;confirmed;Top match claro (score 1.262 vs 0.723);1.262
159;Jose De Mattos Leao, C E-Ef M;41040317.0;JOSE DE MATTOS LEAO C E CMEF M;São João do Ivaí;confirmed;Top match claro (score 1.262 vs 1.062);1.262
160;Colégio Estadual Dr. Generoso Marques;41046617.0;GENEROSO MARQUES C E CM DREF M;Cambará;confirmed;Top match claro (score 1.233 vs 0.762);1.233
161;Hercília de Paula e Silva, CECM Profª - EFM e Profissional;41050886.0;HERCILIA P E SILVA C E CM PROFAEF M;Carlópolis;confirmed;Top match claro (score 0.727 vs 0.538);0.727
162;Colégio Estadual Cívico-Militar José Pavan - EFM;41047192.0;JOSE PAVAN C E CMEF M;Jacarezinho;confirmed;Top match claro (score 1.233 vs 0.762);1.233
163;Colégio Estadual Cívico Militar Doutor João da Rocha Chueiri;41047800.0;JOAO DA R CHUEIRI C E CM DREF M P;Ribeirão Claro;confirmed;Top match claro (score 0.958 vs 0.654);0.958
164;Colégio Estadual Cívico Militar Ruth Martinez Correa;41045610.0;RUTH M CORREA C E CMEF M PROF;Ribeirão do Pinhal;confirmed;Top match claro (score 0.958 vs 0.637);0.958
165;Colégio Estadual Cívico-Militar Edith de Souza Prado de Oliveira;41048326.0;EDITH S PRADO DE OLIVEIRA C E CMEF M;Santo Antônio da Platina;confirmed;Top match claro (score 1.048 vs 0.571);1.048
166;Colégio Cívico-militar Moralina Eleutério;41048563.0;MORALINA ELEUTERIO C E CM DONAEF M;Santo Antônio da Platina;confirmed;Top match claro (score 0.958 vs 0.637);0.958
167;Escola Estadual Stella Maris;41042778.0;STELLA MARIS C E CMEF M;Andirá;confirmed;Candidato único com score 1.233;1.233
168;Colégio Estadual Dona Carolina Lupion;41046552.0;CAROLINA LUPION C E CM DONAEF M;Cambará;confirmed;Top match claro (score 1.233 vs 1.033);1.233
169;Colégio Estadual Cívico Militar Anésio de Almeida Leite;41046960.0;ANESIO DE A LEITE C E CMEF M PROFIS;Jacarezinho;confirmed;Top match claro (score 0.923 vs 0.637);0.923
170;Antonio Raminelli, C E C M -E F M P;41028430.0;ANTONIO RAMINELLI C E CMEF M PROFIS;Cambé;confirmed;Top match claro (score 1.175 vs 0.762);1.175
171;Colégio Estadual Cívico Militar Érico Veríssimo - Ensino fundamental e médio;41102274.0;ERICO VERISSIMO C E CMEF M;Laranjeiras do Sul;ambiguous;Competição próxima entre 'ERICO VERISSIMO C E CMEF M' (Laranjeiras do Sul) e 'ERICO VERISSIMO C E CMEF M PROFIS' (Cambé);0.727
172;11 De Outubro, C E-Ef M;41028996.0;11 DE OUTUBRO C E CMEF M PROFIS;Cambé;confirmed;Top match claro (score 1.175 vs 0.562);1.175
173;Basilio De Lucca, C E-Ef M;41029151.0;BASILIO DE LUCCA C E CMEF M;Ibiporã;confirmed;Top match claro (score 1.233 vs 0.562);1.233
174;Ulysses Guimaraes, E E-Ef;41144252.0;ULYSSES GUIMARAES C E CMEF M;Ibiporã;confirmed;Top match claro (score 1.233 vs 1.033);1.233
175;Colégio Estadual Cívico-Militar Professora Adelia Dionisia Barbosa;41029500.0;ADELIA D BARBOSA C E CM PROFAEF M P;Londrina;confirmed;Top match claro (score 0.958 vs 0.637);0.958
176;Josemaria Escriva, E E Mons-Ef;41030451.0;JOSEMARIA ESCRIVA C E CM MONSEF M;Londrina;confirmed;Top match claro (score 0.958 vs 0.425);0.958
177;Fernando De B Pinto, CECM Dr-EfEm;41030966.0;FERNANDO DE B PINTO C E CM DREF M;Londrina;confirmed;Candidato único com score 0.815;0.815
178;Tsuru Oguido, C E C-M - Ef M;41033280.0;TSURU OGUIDO C E CMEF M;Londrina;confirmed;Candidato único com score 1.233;1.233
179;Vani Ruiz Viessi;41033370.0;VANI RUIZ VIESSI C E CM PROFAEF M;Londrina;confirmed;Candidato único com score 1.262;1.262
180;Colégio Estadual Cívico Militar Vista Bela;41159586.0;VISTA BELA C E CMEF M PROFIS;Londrina;ambiguous;Competição próxima entre 'VISTA BELA C E CMEF M PROFIS' (Londrina) e 'BELA VISTA E EEF' (Telêmaco Borba);1.175
181;Francisco Villanueva,C E Prof-E F M P;41020286.0;FRANCISCO J PERIOTO E E CM PROFEF;Mandaguaçu;ambiguous;Competição próxima entre 'FRANCISCO J PERIOTO E E CM PROFEF' (Mandaguaçu) e 'FRANCISCO VILLANUEVAC E CM PROFEF M P' (Rolândia);0.762
182;Colégio Estadual Presidente Kennedy;41077776.0;KENNEDY C E C CM PRESEF M;Serranópolis do Iguaçu;ambiguous;Competição próxima entre 'KENNEDY C E C CM PRESEF M' (Serranópolis do Iguaçu) e 'KENNEDY C E CM PRESEF M PROF NORMAL' (Rolândia);1.175
183;Jose Alexandre Chiarelli, Ce Prof-Ef M;41152913.0;JOSE ALEX CHIARELLI C E CM PROFEF M P;Rolândia;confirmed;Top match claro (score 0.923 vs 0.637);0.923
184;Colégio Estadual Cívico-Militar Monteiro Lobato;41022416.0;MONTEIRO LOBATO C E CMEF M;Sertanópolis;ambiguous;Competição próxima entre 'MONTEIRO LOBATO C E CMEF M' (Sertanópolis) e 'MONTEIRO LOBATO C E CMEF M' (Cornélio Procópio);1.233
185;Escola Estadual Anastácio Cerezine;41021100.0;ANASTACIO CEREZINE E E CMEF;Alvorada do Sul;confirmed;Candidato único com score 1.233;1.233
186;Lauro G Da V Pessoa, E E Prof-Ef;41031709.0;LAURO G DA V PESSOA E E CM PROFEF;Londrina;confirmed;Top match claro (score 1.233 vs 0.762);1.233
187;Colégio Estadual Newton Guimarães;41032225.0;NEWTON GUIMARAES C E CM PROFEF M;Londrina;confirmed;Top match claro (score 1.233 vs 0.883);1.233
188;Colégio Estadual Cívico-Militar Barão do Rio Branco;41032853.0;RIO BRANCO C E CM BAR DOEF M;Londrina;ambiguous;Competição próxima entre 'RIO BRANCO C E CM BAR DOEF M' (Londrina) e 'RIO BRANCO C E CM BAR DOEF M' (Palotina);1.233
189;João Rodrigues Da Silva, C E Prof-Ef M;41358872.0;JOAO R DA SILVA E E CM PROFEF;Londrina;confirmed;Top match claro (score 0.958 vs 0.723);0.958
190;Andrea Nuzzi, C E Maestro-Ef M;41028406.0;ANDREA NUZZI C E CM MAESTROEF M P;Cambé;confirmed;Top match claro (score 0.958 vs 0.608);0.958
191;Colégio Estadual Attílio Codato - Ensino Fundamental e Médio;41028457.0;ATTILIO CODATO C E CMEF M;Cambé;confirmed;Top match claro (score 0.727 vs 0.521);0.727
192;Colégio Civíco-Militar Estadual Professora Helena Kolody;41028732.0;HELENA KOLODY C E CM PROFEF M;Cambé;confirmed;Top match claro (score 0.815 vs 0.615);0.815
193;Manuel Bandeira, C E-Ef Em;41028902.0;MANUEL BANDEIRA C E CMEF M PROFIS;Cambé;ambiguous;Competição próxima entre 'MANUEL BANDEIRA C E CMEF M PROFIS' (Cambé) e 'MANUEL BANDEIRA E EEF' (Alto Piquiri);1.175
194;Colégio Estadual Carlos de Almeida;41030125.0;CARLOS DE ALMEIDA C E CMEF M PROFIS;Londrina;confirmed;Top match claro (score 1.175 vs 0.762);1.175
195;Escola Estadual Professora Célia Moraes Oliveira;41030265.0;CELIA M DE OLIVEIRA C E CM PROFEF M P;Londrina;confirmed;Top match claro (score 0.958 vs 0.637);0.958
196;Colégio Estadual Professor Doutor Heber Soares Vargas;41030800.0;HEBER S VARGAS C E CM PROF DREF M P;Londrina;confirmed;Top match claro (score 0.958 vs 0.654);0.958
197;Hugo Simas, C E-Ef M;41031237.0;HUGO SIMAS C E CMEF M PROFIS;Londrina;confirmed;Top match claro (score 1.175 vs 0.767);1.175
198;Colégio Estadual Humberto P Coutinho;41031253.0;HUMBERTO P COUTINHO C E CMEF M PROFIS;Londrina;confirmed;Top match claro (score 1.175 vs 0.762);1.175
199;Colégio Estadual Margarida de Barros Lisboa;41031873.0;MARGARIDA B LISBOA C E CM PROFAEF M;Londrina;confirmed;Top match claro (score 0.958 vs 0.454);0.958
200;Nilo Pecanha, C E-Ef M;41032241.0;NILO PECANHA C E CMEF M PROFIS;Londrina;ambiguous;Competição próxima entre 'NILO PECANHA C E CMEF M PROFIS' (Londrina) e 'NILO PECANHA C E CEF M' (Ivaiporã);1.175
201;R. Rudolf Keilhold, 173;;;;not_found;Linha de endereço físico na lista oficial (endereço do Colégio Estadual Nilo Peçanha);0.0
202;Colégio Estadual Do Patrimônio Regina;41597915.0;PATRIMONIO REGINA C E CM DOEF M;Londrina;confirmed;Top match claro (score 1.233 vs 0.562);1.233
203;Colegio Estadual Profº. Thiago Terra;41355156.0;THIAGO TERRA C E CMEF M PROF;Londrina;confirmed;Top match claro (score 0.958 vs 0.437);0.958
204;Colégio Estadual Pe Wistremundo R. P. Garcia;41030486.0;WISTREMUNDO R P GARCIA C E CM PEEFM P;Londrina;confirmed;Top match claro (score 1.233 vs 0.562);1.233
205;Colégio Estadual Dr. Lauro Portugal Tavares;41033620.0;LAURO P TAVARES C E CM DREF M;Rolândia;confirmed;Top match claro (score 0.958 vs 0.637);0.958
206;Colégio Estadual Serafim França;41019229.0;SERAFIM FRANCA C E CMEF M PROFIS;Astorga;confirmed;Top match claro (score 1.175 vs 0.745);1.175
207;Colégio Estadual Cecília Meireles;41020910.0;CECILIA MEIRELES E E CMEF;Santa Fé;ambiguous;Competição próxima entre 'CECILIA MEIRELES E E CMEF' (Santa Fé) e 'CECILIA MEIRELES C E CMEF M PROFIS' (Colorado);1.233
208;Colégio Estadual São Vicente Pallotti;41023161.0;SAO VICENTE PALLOTTI C E CMEF M P;Mandaguari;confirmed;Top match claro (score 1.262 vs 0.758);1.262
209;Colégio estadual Pedro Viriato Parigot de Souza;41023382.0;PEDRO V PARIGOT SOUZA C E CMEF M P;Marialva;ambiguous;Competição próxima entre 'PEDRO V PARIGOT SOUZA C E CMEF M P' (Marialva) e 'PEDRO VIRIATO PARIGOT SOUZA E M REI EF' (Arapuã);1.048
210;Colégio Estadual Alberto J. Byington Jr.;41023552.0;ALBERTO J BYINGTON JR C ECMEF M PROFI;Maringá;confirmed;Top match claro (score 1.010 vs 0.637);1.01
211;Colégio Estadual Duque de Caxias cívico-militar;41026500.0;CAXIAS E M R DUQUE DEEF;Arapongas;ambiguous;Competição próxima entre 'CAXIAS E M R DUQUE DEEF' (Arapongas) e 'CAXIAS C E CM DQEF M PROF' (Irati);0.883
212;Colégio Estadual Ipiranga;41024079.0;IPIRANGA C E CMEF M;Maringá;confirmed;Top match claro (score 1.175 vs 0.917);1.175
213;Colégio Estadual Tomaz Edison de Andrade Vieira;41024796.0;TOMAZ E DE A VIEIRA C E CMEF M PROFIS;Maringá;confirmed;Top match claro (score 0.792 vs 0.571);0.792
214;Colégio Estadual Vinícius de Moraes;41024869.0;VINICIUS DE MORAES C E CMEF M;Maringá;ambiguous;Competição próxima entre 'VINICIUS DE MORAES C E CMEF M' (Maringá) e 'VINICIUS DE MORAES C E CMEF M' (Dois Vizinhos);1.233
215;Colégio Estadual Vercindes Gerotto dos Reis;41025040.0;VERCINDES G DOS REIS C E CMEF M PROFI;Paiçandu;confirmed;Top match claro (score 0.923 vs 0.637);0.923
216;Colégio Estadual Cora Coralina;41145500.0;CORA CORALINA C E CMEF M PROFIS;Sarandi;ambiguous;Competição próxima entre 'CORA CORALINA C E CMEF M PROFIS' (Sarandi) e 'CORA CORALINA C E CEF M' (Jardim Alegre);1.175
217;Colégio Estadual do Jardim Independência;41025105.0;JARDIM INDEPENDENCIA C E DOEF M PROFIS;Sarandi;confirmed;Top match claro (score 0.975 vs 0.762);0.975
218;Escola Estadual Cecília Meireles;41020910.0;CECILIA MEIRELES E E CMEF;Santa Fé;ambiguous;Competição próxima entre 'CECILIA MEIRELES E E CMEF' (Santa Fé) e 'CECILIA MEIRELES C E CMEF M PROFIS' (Colorado);1.233
219;Escola Estadual Pres. Arthur da Costa e Silva;41022750.0;ARTHUR C E SILVA E E CM PRESEF;Floresta;ambiguous;Competição próxima entre 'ARTHUR C E SILVA E E CM PRESEF' (Floresta) e 'ARTHUR DA C SILVA C E CM MALEF M P' (Medianeira);0.958
220;Escola Estadual Cívico-Militar F. J. Perioto – Ensino Fundamental;41133129.0;SANTA CRUZ ESC EST ENSINO FUNDAMENTAL;Curitiba;ambiguous;Competição próxima entre 'SANTA CRUZ ESC EST ENSINO FUNDAMENTAL' (Curitiba) e 'FRANCISCO J PERIOTO E E CM PROFEF' (Mandaguaçu);0.683
221;Manoel F Almeida, E E Dr-Ef;41021010.0;MANOEL F ALMEIDA E E CM DREF;Santo Inácio;confirmed;Top match claro (score 1.233 vs 0.792);1.233
222;Colégio Estadual Presidente Afonso Camargo;41001060.0;AFONSO CAMARGO C E CM PRESEF M;Loanda;ambiguous;Competição próxima entre 'AFONSO CAMARGO C E CM PRESEF M' (Loanda) e 'AFONSO A DE CAMARGO C E CM DREF M P' (Rio Azul);1.233
223;Colégio Estadual Cívico-Militar Vale do Tigre;41001672.0;VALE DO TIGRE C E CMEF M;Nova Londrina;confirmed;Top match claro (score 1.233 vs 0.562);1.233
224;Colégio Estadual Alberico M da Silva;41003330.0;ALBERICO M DA SILVA C E CMEF M;Santa Isabel do Ivaí;confirmed;Top match claro (score 1.233 vs 0.792);1.233
225;Colégio Estadual Cívico Militar Santos Dumont;41003292.0;SANTOS DUMONT C E CMEF M;Santa Cruz de Monte Castelo;ambiguous;Competição próxima entre 'SANTOS DUMONT C E CMEF M' (Santa Cruz de Monte Castelo) e 'SANTOS DUMONT C E CMEF M' (Cascavel);1.233
226;Moyses Lupion, C E-Ef M;41138880.0;MOYSES LUPION C E CMEF M N PROFIS;Antonina;confirmed;Top match claro (score 1.175 vs 0.883);1.175
227;29 De Abril, C E-Ef M;41010710.0;11 DE ABRIL C EEF M;Tapejara;ambiguous;Competição próxima entre '11 DE ABRIL C EEF M' (Tapejara) e '29 DE NOVEMBRO C EEF M' (Araruna);0.562
228;Escola Estadual Professora Abigail Dos Santos Correa;41139895.0;ABIGAIL DOS S CORREA E E CM PROFAEF;Matinhos;confirmed;Top match claro (score 0.958 vs 0.637);0.958
229;Colégio Estadual Cívico Militar Dídio Augusto de Camargo Viana;41140605.0;DIDIO A DE C VIANA E E CMEF;Paranaguá;confirmed;Top match claro (score 0.815 vs 0.583);0.815
230;Escola Estadual Cívico Militar Faria Sobrinho;41140664.0;FARIA SOBRINHO E E CMEF;Paranaguá;confirmed;Top match claro (score 1.233 vs 0.562);1.233
231;Colégio Estadual Cívico-Militar Helena Viana Sundin, Ensino Fundamental e Ensino Médio;41140729.0;HELENA VIANA SUNDIN C E CMEF M;Paranaguá;confirmed;Top match claro (score 0.825 vs 0.502);0.825
232;Colegio Estadual Hélio Antônio De Souza;41361563.0;HELIO ANTONIO DE SOUZA C E CMEF M;Pontal do Paraná;confirmed;Top match claro (score 1.262 vs 0.637);1.262
233;Colégio Estadual Sertãozinho;41140052.0;SERTAOZINHO C E CMEF M N PROFIS;Matinhos;confirmed;Candidato único com score 1.117;1.117
234;Colégio Estadual Cívico Militar Flauzina Dias Viegas;41002148.0;FLAUZINA DIAS VIEGAS C E CMEF M;Paranavaí;confirmed;Top match claro (score 1.262 vs 0.637);1.262
235;Colégio Estadual Leonel Franca;41002296.0;LEONEL FRANCA C E CMEF M PROFIS;Paranavaí;confirmed;Top match claro (score 1.175 vs 0.745);1.175
236;Colégio Estadual Sílvio Vidal;41002636.0;SILVIO VIDAL C E CMEF M PROFIS;Paranavaí;confirmed;Top match claro (score 1.175 vs 0.562);1.175
237;Escola Estadual Agostinho Stefanello;41000021.0;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;confirmed;Top match claro (score 1.233 vs 0.562);1.233
238;Colégio Estadual Santo Inácio de Loyola;41004051.0;SANTO INACIO DE LOYOLA C E CMEF M;Terra Rica;confirmed;Top match claro (score 1.262 vs 1.062);1.262
239;Colégio Estadual Cívico-Militar l Nova Visão;41091396.0;NOVA VISAO C E CMEF M PROFIS;Chopinzinho;confirmed;Top match claro (score 1.175 vs 0.592);1.175
240;Colégio Estadual Pres. Castelo Branco;41007280.0;CASTELO BRANCO E E CM PRESEF;Tapira;ambiguous;Competição próxima entre 'CASTELO BRANCO E E CM PRESEF' (Tapira) e 'CASTELO BRANCO C E CM PRESE F M P' (Clevelândia);1.233
241;Tancredo Neves, C E-Ef M;41076869.0;TANCREDO DE A NEVES C E CMEF M N P;Foz do Iguaçu;ambiguous;Competição próxima entre 'TANCREDO DE A NEVES C E CMEF M N P' (Foz do Iguaçu) e 'TANCREDO NEVES C E CMEF M' (Coronel Vivida);1.233
242;Sebastiao Parana, C E-Ef M;41109422.0;SEBASTIAO PARANA C E CMEF M PROFIS;Palmas;confirmed;Top match claro (score 1.175 vs 0.975);1.175
243;Colégio Estadual Cívico Militar Monsenhor Eduardo;41082249.0;CARLOS EDUARDO C E CM DEF M;Realeza;ambiguous;Competição próxima entre 'CARLOS EDUARDO C E CM DEF M' (Realeza) e 'EDUARDO C E CM MONSEF M PROFIS' (Palmas);0.762
244;Carmela Bortot, E E-Ef;41093305.0;CARMELA BORTOT C E CMEF M;Pato Branco;confirmed;Top match claro (score 1.233 vs 0.562);1.233
245;Castro Alves, C E-Ef M;41093313.0;CASTRO ALVES C E CMEF M;Pato Branco;confirmed;Top match claro (score 1.233 vs 1.033);1.233
246;Colégio Estadual Rui Barbosa;41093607.0;RUI BARBOSA C E CMEF M;Pato Branco;ambiguous;Competição próxima entre 'RUI BARBOSA C E CMEF M' (Pato Branco) e 'RUI BARBOSA C E CMEF M PROF' (Colombo);1.233
247;Escola Estadual Irmão Isidoro Dumont - EF;41092694.0;ISIDORO DUMONT E E CM IREF;Itapejara d'Oeste;confirmed;Top match claro (score 0.958 vs 0.637);0.958
248;Colégio Estadual São João Bosco - EFM;41093666.0;SAO JOAO BOSCO C E CMEF M P;Pato Branco;confirmed;Top match claro (score 1.262 vs 0.958);1.262
249;Colégio Estadual João C. da Costa;41095537.0;JOAO C DA COSTA C E CMEF M;Palmital;confirmed;Top match claro (score 1.233 vs 1.033);1.233
250;Colégio Estadual Cívico Militar Dom Pedro I;41056540.0;SAO PEDRO C E CMEF M;Telêmaco Borba;ambiguous;Competição próxima entre 'SAO PEDRO C E CMEF M' (Telêmaco Borba) e 'PEDRO I C E CM DEF M PROFIS' (Pitanga);1.117
251;Colégio Estadual Cívico Militar Eurico Batista Rosas;41352718.0;EURICO BATISTA ROSAS C E CMEF M;Carambeí;confirmed;Top match claro (score 1.262 vs 0.573);1.262
252;Colégio Estadual Cívico-Militar Joana Torres Pereira;41060253.0;JOANA T PEREIRA C E CM PROFA EF M;Castro;confirmed;Top match claro (score 1.017 vs 0.625);1.017
253;Colégio Estadual Prof. Nicolau Hampf;41373960.0;NICOLAU HAMPF C E CM PROFEF M;Castro;confirmed;Top match claro (score 1.233 vs 0.762);1.233
254;Colégio Estadual Cívico-Militar Alcides Munhoz;41109570.0;ALCIDES MUNHOZ C E CMEF M;Imbituva;confirmed;Top match claro (score 1.233 vs 0.562);1.233
255;Colégio Estadual Cívico-Militar São Judas Tadeu;41061748.0;SAO JUDAS TADEU C E CMEF M PROF;Palmeira;ambiguous;Competição próxima entre 'SAO JUDAS TADEU C E CMEF M PROF' (Palmeira) e 'SAO JUDAS TADEU E E C EF' (Santa Izabel do Oeste);1.262
256;Colégio Estadual Cívico-Militar Prof• Leandro Manoel da Costa;41058844.0;LEANDRO M DA COSTA C E CM PROFEF M P;Piraí do Sul;confirmed;Top match claro (score 0.958 vs 0.654);0.958
257;Colégio Estadual Cívico-Militar General Antônio Sampaio;41062000.0;ANTONIO SAMPAIO C E CM GALEF M;Ponta Grossa;confirmed;Top match claro (score 1.233 vs 0.975);1.233
258;Colégio Estadual Cívico-Militar Professor Colares;41062302.0;COLARES C E CM PROFEF M;Ponta Grossa;confirmed;Candidato único com score 1.175;1.175
259;Colégio Estadual Cívico-Militar José Elias da Rocha;41062833.0;JOSE ELIAS DA ROCHA C E CMEF M PROFIS;Ponta Grossa;confirmed;Top match claro (score 1.210 vs 0.758);1.21
260;Colégio Estadual Cívico-Militar Frei Doroteu de Padua;41063236.0;DOROTEU DE PADUA C E CM FREF M PROFIS;Ponta Grossa;confirmed;Candidato único com score 0.923;0.923
261;Colégio Estadual Cívico-Militar Coronel Amazonas;41122453.0;AMAZONAS C E CM CELEF M P;Porto Amazonas;confirmed;Top match claro (score 1.175 vs 0.767);1.175
262;Colégio Estadual Cívico Militar General Osório;41063155.0;OSORIO C E CM GALEF M PROFIS;Ponta Grossa;ambiguous;Competição próxima entre 'OSORIO C E CM GALEF M PROFIS' (Ponta Grossa) e 'OSORIO DUQUE ESTRADA C E CMEF M' (Diamante do Sul);1.117
263;Colégio cívico militar do Paraná Becker e Silva;41062108.0;BECKER E SILVA C E CM PROFEF M PROFIS;Ponta Grossa;confirmed;Top match claro (score 0.792 vs 0.583);0.792
264;Colégio Estadual Cívico-Militar Padre Carlos Zelesny;41062191.0;CARLOS ZELESNY C E CM PEEF M;Ponta Grossa;confirmed;Top match claro (score 1.233 vs 0.762);1.233
265;Colégio Estadual Cívico Militar Prof. Edison Pietrobelli;41354273.0;EDISON PIETROBELLI E E CM PROFEF;Ponta Grossa;confirmed;Top match claro (score 1.233 vs 0.883);1.233
266;Colégio Cívico-Militar Dr. Epaminondas Novaes Ribas;41062469.0;EPAMINONDAS N RIBAS C E CM DREF M P;Ponta Grossa;confirmed;Top match claro (score 0.815 vs 0.571);0.815
267;Nossa Sra Da Gloria, C E-Ef M;41063139.0;NOSSA SRA DA GLORIA C E CMEF M;Ponta Grossa;confirmed;Top match claro (score 1.262 vs 0.912);1.262
268;Colégio Estadual Cívico Militar José de Alencar;41049098.0;JOSE DE ALENCAR C E CMEF M;Curiúva;ambiguous;Competição próxima entre 'JOSE DE ALENCAR C E CMEF M' (Curiúva) e 'JOSE DE ALENCAR C E C E F M N' (Braganey);1.233
269;Colégio Estadual Cívico-Militar Gregório Szeremeta;41145690.0;GREGORIO SZEREMETA C E CMEF M;Reserva;confirmed;Top match claro (score 1.233 vs 0.562);1.233
270;Colégio Estadual Prof. Custódio Netto;41056140.0;CUSTODIO NETTO C E CM PROFEF M PROFIS;Telêmaco Borba;confirmed;Top match claro (score 1.175 vs 0.762);1.175
271;Colégio Estadual Dr. Marcelino Nogueira;41056361.0;MARCELINO NOGUEIRA C E CM DREF M;Telêmaco Borba;ambiguous;Competição próxima entre 'MARCELINO NOGUEIRA C E CM DREF M' (Telêmaco Borba) e 'MARCELINO NOGUEIRA E M CM DREF' (Ribeirão do Pinhal);1.233
